anzsic06,nzsioc13,nzsioc13_desc,nzsioc13_gp,nzsioc13_gp_desc
N729,MN212,Employment and other administrative services,MN21_,Support_Serv
N731,MN213,"Building cleaning, pest control and other support services",MN21_,Support_Serv
N732,MN213,"Building cleaning, pest control and other support services",MN21_,Support_Serv
O751,OO211,Central government administration and justice,OO211,Central government administration and justice
O752,OO211,Central government administration and justice,OO211,Central government administration and justice
O753,OO111,Local government administration,OO111,Local government administration
O754,OO211,Central government administration and justice,OO211,Central government administration and justice
O755,OO211,Central government administration and justice,OO211,Central government administration and justice
O760,OO212,Defence,OO21_,Safety_Defence
O771,OO213,"Public order, safety and regulatory services",OO21_,Safety_Defence
O772,OO213,"Public order, safety and regulatory services",OO21_,Safety_Defence
P801,PP111,Preschool education,PP11_,Education
P802,PP112,School education,PP11_,Education
P810,PP113,Tertiary education,PP11_,Education
P821,PP114,"Adult, community and other education",PP11_,Education
P822,PP114,"Adult, community and other education",PP11_,Education
Q840,QQ111,Hospitals,QQ11_,MedicOthHealth
Q851,QQ112,Medical and other health care services,QQ11_,MedicOthHealth
Q852,QQ112,Medical and other health care services,QQ11_,MedicOthHealth
Q853,QQ112,Medical and other health care services,QQ11_,MedicOthHealth
Q859,QQ112,Medical and other health care services,QQ11_,MedicOthHealth
Q860,QQ113,Residential care services and social assistance,QQ11_,MedicOthHealth
Q871,QQ113,Residential care services and social assistance,QQ11_,MedicOthHealth
Q879,QQ113,Residential care services and social assistance,QQ11_,MedicOthHealth
R891,RS111,Heritage and artistic activities,RS11_,Recr_Serv
R892,RS111,Heritage and artistic activities,RS11_,Recr_Serv
R900,RS111,Heritage and artistic activities,RS11_,Recr_Serv
R911,RS112,Sport and recreation activities,RS11_,Recr_Serv
R912,RS112,Sport and recreation activities,RS11_,Recr_Serv
R913,RS112,Sport and recreation activities,RS11_,Recr_Serv
R920,RS113,Gambling activities,RS11_,Recr_Serv
S941,RS211,Repair and maintenance,RS211,Repair and maintenance
S942,RS211,Repair and maintenance,RS211,Repair and maintenance
S949,RS211,Repair and maintenance,RS211,Repair and maintenance
S951,RS210,Personal services; domestic household staff,RS210,Personal services; domestic household staff
S952,RS210,Personal services; domestic household staff,RS210,Personal services; domestic household staff
S953,RS210,Personal services; domestic household staff,RS210,Personal services; domestic household staff
S954,RS219,"Religious services; civil, professional and other interest groups",RS219,"Religious services; civil, professional and other interest groups"
S955,RS219,"Religious services; civil, professional and other interest groups",RS219,"Religious services; civil, professional and other interest groups"
S960,RS210,Personal services; domestic household staff,RS210,Personal services; domestic household staff
