ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
GH21_,Accomodation and food services,Legislators,2190,0.51,0.97
GH21_,Accomodation and food services,Clerks,486,0.5,1.09
GH21_,Accomodation and food services,Service and sales workers,5466,0.5,1.4
II111,Road transport,Legislators,246,0.5,-0.57
JJ11_,Information media services,Technicians and associate professionals,513,0.51,1.92
JJ11_,Information media services,Clerks,135,0.52,1.89
JJ11_,Information media services,Elementary occupations (inc. residuals),96,0.51,0.42
JJ120,Telecommunications services including internet service providers,Legislators,234,0.51,2
JJ120,Telecommunications services including internet service providers,Professionals,327,0.5,1.92
KK1_,Other financial and insurance services,Legislators,513,0.52,1.91
KK1_,Other financial and insurance services,Clerks,387,0.51,1.81
KK110,Banking and financing; financial asset investing,Legislators,675,0.52,2.01
KK110,Banking and financing; financial asset investing,Professionals,372,0.5,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,360,0.5,1.86
KK110,Banking and financing; financial asset investing,Clerks,1020,0.51,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,831,0.54,1.63
LL12_,Property operators and real estate services,Clerks,372,0.53,0.85
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,2793,0.52,1.99
MN11_,"Professional, scientific and technical services",Clerks,2088,0.51,1.9
MN21_,Administrative and support services,Professionals,507,0.52,2.02
MN21_,Administrative and support services,Technicians and associate professionals,726,0.53,2
MN21_,Administrative and support services,Clerks,558,0.51,1.53
OO111,Local government administration,Clerks,240,0.49,-0.5
OO21_,Public safety and defence,Clerks,270,0.46,0.25
OO21_,Public safety and defence,Service and sales workers,1686,0.49,-0.29
OO211,Central government administration and justice,Legislators,285,0.46,0.63
OO211,Central government administration and justice,Professionals,573,0.46,0.68
OO211,Central government administration and justice,Clerks,480,0.46,0.18
OO211,Central government administration and justice,Service and sales workers,102,0.46,-0.24
PP11_,Education and training,Legislators,1275,0.51,1.12
PP11_,Education and training,Professionals,7992,0.5,0.34
PP11_,Education and training,Technicians and associate professionals,2061,0.49,-0.3
PP11_,Education and training,Clerks,996,0.5,0.69
PP11_,Education and training,Service and sales workers,324,0.48,-0.29
PP11_,Education and training,Elementary occupations (inc. residuals),843,0.48,-0.8
QQ11_,Health care and social assistance,Legislators,1245,0.49,-0.08
QQ11_,Health care and social assistance,Elementary occupations (inc. residuals),594,0.48,-1.16
RS11_,Arts and recreational services,Technicians and associate professionals,1155,0.49,1.4
RS11_,Arts and recreational services,Agriculture and fishery workers,165,0.49,-0.77
RS210,Personal services; domestic household staff,Service and sales workers,1236,0.49,-0.57
RS211,Repair and maintenance,Clerks,195,0.49,-0.93
RS211,Repair and maintenance,Trades workers,1308,0.49,-1.09
RS219,"Religious services; civil, professional and other interest groups",Legislators,396,0.48,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,633,0.5,1.79
RS219,"Religious services; civil, professional and other interest groups",Clerks,291,0.47,1.03
