ua_1,ua_2,year,relatedness
1,17,1996,0.6070426889358651
1,17,2001,0.6634821049918695
1,17,2006,0.6524189520321804
1,17,2013,0.5950621889187323
1,18,1981,0.40096181028101513
1,18,1986,0.512680008981554
1,18,1991,0.4679720747246272
1,18,1996,0.5232546848673136
1,18,2001,0.5216954667644954
1,18,2006,0.5300539072645226
1,18,2013,0.49611350090834294
1,19,1981,0.455712029841643
1,19,1986,0.5252973777563256
1,19,1991,0.6834446588258392
1,19,1996,0.7006324706696684
1,19,2001,0.6207070717659284
1,19,2006,0.7508891316415449
1,19,2013,0.749649333202513
1,20,1981,0.569958059815212
1,20,1986,0.4901227178764457
1,20,1991,0.454553607139655
1,20,1996,0.3979339114901814
1,20,2001,0.36774208595081737
1,20,2006,0.3081058132351525
1,20,2013,0.30727003229099714
1,21,1981,0.7016499193105054
1,21,1986,0.4761640670304301
1,21,1991,0.5407607638593026
1,21,1996,0.354430020145569
1,21,2001,0.49124513615865745
1,21,2006,0.6637417812210717
1,21,2013,0.5830416877661004
1,22,1981,0.2666955241684675
1,22,1986,0.3525635037540775
1,22,1991,0.40660918893588194
1,22,1996,0.3751810842333854
1,22,2001,0.4138833850997945
1,22,2006,0.44896144819050604
1,22,2013,0.6469046598292161
1,23,1981,0.5305807420973607
1,23,1986,0.4931290060924993
1,23,1991,0.6908899468697834
1,23,1996,0.779512799308171
1,23,2001,0.8386485838097637
1,23,2006,0.8487277017098585
1,23,2013,0.8660166146687762
1,24,1981,0.47636393166530866
1,24,1986,0.44452242363376887
1,24,1991,0.5630623985001838
1,24,1996,0.4074193706168483
1,24,2001,0.6106491174035696
1,24,2006,0.6238873129928126
1,24,2013,0.606003980331017
1,25,1981,0.7883943869986898
1,25,1986,0.6925955326042728
1,25,1991,0.7452535927760722
1,25,1996,0.8218565849829125
1,25,2001,0.8115458568834528
1,25,2006,0.7862305586036011
1,25,2013,0.8292230719817217
1,26,1981,0.6128531907100792
1,26,1986,0.48317013603949
1,26,1991,0.43560787180107485
1,26,1996,0.3940096995046026
1,26,2001,0.3781803994538549
1,26,2006,0.40123472902824986
1,26,2013,0.28100462007506527
1,101,1981,0.6869978324385334
1,101,1986,0.5491682178416742
1,101,1991,0.6347270397697418
1,101,1996,0.6625752753973593
1,101,2001,0.6676600527215643
1,101,2006,0.429674100892393
1,101,2013,0.3287059235004708
1,102,1981,0.14738074610336832
1,102,1986,0.3313003390384391
1,102,1991,0.31089743609865245
1,102,1996,0.6559331277947849
1,102,2001,0.6241770233628916
1,102,2006,0.8489520787615734
1,102,2013,0.8347814561952585
1,103,1981,0.7851847932867395
1,103,1986,0.6763360545050686
1,103,1991,0.7310873417922341
1,103,1996,0.7055962352066684
1,103,2001,0.6863466840291048
1,103,2006,0.6931193054289072
1,103,2013,0.6240538496587361
1,104,1981,0.8244669590877818
1,104,1986,0.6884481077343456
1,104,1991,0.8141580634422713
1,104,1996,0.8401278735611344
1,104,2001,0.843286129895616
1,104,2006,0.8951435898392454
1,104,2013,0.9309332172550937
1,105,1981,0.7527594590066836
1,105,1986,0.6278858102700493
1,105,1991,0.7925294857116997
1,105,1996,0.7686796842409847
1,105,2001,0.679051423756108
1,105,2006,0.6806548190164775
1,105,2013,0.6773753311086519
1,106,1981,0.6209877618048478
1,106,1986,0.5690059314219945
1,106,1991,0.7931850602599835
1,106,1996,0.8657735335126109
1,106,2001,0.8784185670064072
1,106,2006,0.8953927421268446
1,106,2013,0.8843585847864324
1,107,1981,0.6627551248422553
1,107,1986,0.520192263547403
1,107,1991,0.7674603585228896
1,107,1996,0.8396933602842138
1,107,2001,0.8508305886748073
1,107,2006,0.9006596339618428
1,107,2013,0.9102954462383146
1,109,1981,0.7146487090410731
1,109,1986,0.5647511472642998
1,109,1991,0.86280961687667
1,109,1996,0.8653565649966479
1,109,2001,0.9021027928494626
1,109,2006,0.9098880615319991
1,109,2013,0.9179150182223569
1,111,1981,0.7365369564738525
1,111,1986,0.6850900029980225
1,111,1991,0.9051927191711178
1,111,1996,0.8854214138198573
1,111,2001,0.9119831720868592
1,111,2006,0.9103168857767614
1,111,2013,0.9123105650372977
1,112,1981,0.7385061297061817
1,112,1986,0.5749334627568218
1,112,1991,0.7089526610523618
1,112,1996,0.7618668238705412
1,112,2001,0.6930555911428709
1,112,2006,0.7041871151420118
1,112,2013,0.6655599133992183
1,113,1981,0.5761098821251879
1,113,1986,0.5068764180505294
1,113,1991,0.7666847951494882
1,113,1996,0.733214216565121
1,113,2001,0.6630906507368546
1,113,2006,0.7462380474525946
1,113,2013,0.8081586624879484
1,114,1981,0.6491167973871258
1,114,1986,0.5425283754012918
1,114,1991,0.7670063483483531
1,114,1996,0.7560306405572349
1,114,2001,0.725284142628797
1,114,2006,0.7826478763160207
1,114,2013,0.7894533465105333
1,116,1981,0.7603152046652426
1,116,1986,0.5827564311792311
1,116,1991,0.857409898727858
1,116,1996,0.8770476599330952
1,116,2001,0.883924274023429
1,116,2006,0.8974862516748991
1,116,2013,0.839467326218889
1,117,1981,0.8366260523341118
