ind,occ,act,year,act_complexity,act_size
CC141,1,CC141.1,2013,0.4733954576314411,2871
CC141,4,CC141.4,1981,-0.8145456189907434,1689
CC141,4,CC141.4,1986,-1.1190145959756301,1962
CC141,4,CC141.4,1991,-0.7080107147616449,1152
CC141,4,CC141.4,1996,-0.4788710510340081,1455
CC141,4,CC141.4,2001,-0.5811504578783503,1512
CC141,4,CC141.4,2006,-0.5006251446033942,1380
CC141,4,CC141.4,2013,-0.2479273042256538,1413
CC141,5,CC141.5,1981,-0.8062343466427788,1572
CC141,5,CC141.5,1986,-0.8103131065045562,1704
CC141,5,CC141.5,1991,-1.0369982571551124,1803
CC141,5,CC141.5,1996,-1.007380692428018,2208
CC141,5,CC141.5,2001,-0.7569978992271811,2688
CC141,5,CC141.5,2006,-0.2947642768172725,2823
CC141,5,CC141.5,2013,0.6480710359022901,2661
CC141,7,CC141.7,1981,-0.9904617516006888,3363
CC141,7,CC141.7,1986,-0.8932836038836179,3342
CC141,7,CC141.7,1991,-1.0269962537470008,3009
CC141,7,CC141.7,1996,-0.9479624701590967,2517
CC141,7,CC141.7,2001,-0.9807662719764488,2514
CC141,7,CC141.7,2006,-0.7901963440061239,2520
CC141,7,CC141.7,2013,-0.563613357593608,2478
CC141,8,CC141.8,1981,-0.8704181920022005,4374
CC141,8,CC141.8,1986,-0.9069290031672745,4656
CC141,8,CC141.8,1991,-0.9079279928183238,3549
CC141,8,CC141.8,1996,-1.0203012319807478,3348
CC141,8,CC141.8,2001,-0.8625455296981412,4227
CC141,8,CC141.8,2006,-0.6982505660010506,3966
CC141,8,CC141.8,2013,-0.61480995684723,3225
CC141,9,CC141.9,1981,-0.8602691996841733,4290
CC141,9,CC141.9,1986,-0.9847130812841741,3762
CC141,9,CC141.9,1991,-0.687848009098248,3702
CC141,9,CC141.9,1996,-0.6228945341038543,4353
CC141,9,CC141.9,2001,-0.8539354362978182,3552
CC141,9,CC141.9,2006,-0.6777916053278755,3981
CC141,9,CC141.9,2013,-0.5784098584256373,3570
CC211,8,CC211.8,1981,-0.7185437528894113,5616
CC211,8,CC211.8,1986,-0.8420227148382703,6114
CC211,8,CC211.8,1991,-0.7537296055921894,4080
CC211,8,CC211.8,1996,-0.5173310045900794,4230
CC211,8,CC211.8,2001,-0.5647407362959138,3984
CC211,8,CC211.8,2006,-0.6015890587682601,2934
CC211,8,CC211.8,2013,-0.601982739300022,1638
CC212,8,CC212.8,1981,-0.43153211044489254,17031
