ua,year,ua_complexity,ua_size
12,1981,1.4261698746262597,21138
12,1986,1.2746188225581072,22764
12,1991,1.4195573974514453,19809
12,1996,1.7188567179612477,22143
12,2001,1.3335299083226788,23004
12,2006,1.2532577537188412,26013
12,2013,0.562244789487901,25197
13,1981,-0.45935086334037595,23091
13,1986,-0.5546095681491717,24453
13,1991,0.33429515606132654,21912
13,1996,1.2872895648181066,22911
13,2001,1.2886944689951154,23622
13,2006,1.2672210067602083,26802
13,2013,1.0384065970418057,26259
14,1981,0.2889132618938134,18339
14,1986,0.8314088665685312,20892
14,1991,-0.04175737143221731,18408
14,1996,-0.3894037193885501,19962
14,2001,-0.6783376145385894,19440
14,2006,-0.5551480928653135,22812
14,2013,0.08814548928931364,24234
15,1981,-0.5392245524245729,15675
15,1986,-0.8198535905927804,16215
15,1991,-0.9098994128432644,13677
15,1996,-0.8729581429268258,14160
15,2001,-0.834573312223944,14487
15,2006,-0.7516128337783112,15438
15,2013,-0.815172268107867,14406
16,1981,-0.24766382481695448,29886
16,1986,-0.4180636249996094,30207
16,1991,-0.14716745255909827,28413
16,1996,-0.32941485743115695,31773
16,2001,-0.3488802583902818,32271
16,2006,-0.2817086191460585,36375
16,2013,-0.5987400390853901,34977
17,1981,1.4150852822736097,16539
17,1986,1.0846518700266172,17010
17,1991,0.2472307267153799,15411
17,1996,0.22199237874564276,15342
17,2001,0.1529057212355895,15510
17,2006,0.26596086729017465,17217
17,2013,0.5481180501122386,17322
18,1981,1.982242674568613,43899
18,1986,1.985270935965765,45264
18,1991,1.4466645530566475,40356
18,1996,0.43400546738405094,41421
18,2001,0.5703472872010518,43080
18,2006,0.5191350210356935,46386
18,2013,0.677517811658226,44664
19,1981,1.77918422709337,17244
19,1986,1.4570188430373658,19551
19,1991,0.5207761046859539,17259
19,1996,-0.32809016819257725,16935
19,2001,-0.12797635045562836,19224
19,2006,-0.6027713232502212,20748
19,2013,-0.5089780153638763,21834
20,1981,0.8875487238209739,77145
20,1986,0.7965395921658968,79944
20,1991,0.7922015447708648,74526
20,1996,0.2908594084383911,81063
20,2001,0.7224564945311461,86853
20,2006,0.759116379389866,98268
20,2013,1.1128723487407206,102024
21,1981,-0.3973374604192406,17481
21,1986,-0.10548734712256563,19536
21,1991,0.5341565268401552,18933
21,1996,2.053390431001703,22200
21,2001,1.2512561558983668,23934
21,2006,0.7786689150254639,27393
21,2013,1.0011148737724067,28137
22,1981,1.66218357099628,126714
22,1986,1.3776803259231833,133062
22,1991,1.667788116360194,124662
22,1996,1.632705757329703,143397
22,2001,1.767728483084152,152742
22,2006,1.7011965874088788,176325
22,2013,0.3916887777883039,173631
23,1981,0.1995568454898283,46683
23,1986,-0.08555914466000192,46164
23,1991,-0.228440654685528,40833
23,1996,-0.649510445153306,45099
23,2001,-0.8517899491283745,46125
23,2006,-0.7111491520097227,51267
23,2013,-0.7668835897738218,49746
24,1981,-0.12070636437738692,24030
24,1986,-0.21500073477397963,23475
24,1991,0.18500362798430475,20283
24,1996,1.2568975662467254,21054
24,2001,-0.06182141696040381,19986
24,2006,0.34554160043215354,22140
24,2013,0.5915113259177668,22323
25,1981,-0.0693750631537439,7071
25,1986,0.0017302034311187878,8601
25,1991,-0.11163739986549939,9681
25,1996,-0.8099836962747822,10821
25,2001,-0.48178128371157625,12855
25,2006,-0.42860776859090216,15174
25,2013,-0.669970516397037,15966
26,1981,-0.2806748798941047,8736
26,1986,-0.26127369067541445,9696
26,1991,1.06416830666533,9249
26,1996,1.8416256802845388,11037
26,2001,1.923536345577372,12069
26,2006,2.0971450456044938,14010
26,2013,2.2935986510595225,13644
101,1981,-0.3140419232692947,5034
101,1986,-0.13755161997087326,5820
