ua,ind,year,emp
1,LL12_,2006,426
1,LL12_,2013,315
1,MN11_,1976,336
1,MN11_,1981,402
1,MN11_,1986,432
1,MN11_,1991,660
1,MN11_,1996,723
1,MN11_,2001,897
1,MN11_,2006,1164
1,MN11_,2013,1182
1,MN21_,1976,369
1,MN21_,1981,417
1,MN21_,1986,462
1,MN21_,1991,300
1,MN21_,1996,417
1,MN21_,2001,480
1,MN21_,2006,576
1,MN21_,2013,603
1,OO111,1976,159
1,OO111,1981,246
1,OO111,1986,207
1,OO111,1991,309
1,OO111,1996,147
1,OO111,2001,174
1,OO111,2006,201
1,OO111,2013,210
1,OO21_,1976,15
1,OO21_,1981,18
1,OO21_,1986,33
1,OO21_,1991,75
1,OO21_,1996,225
1,OO21_,2001,261
1,OO21_,2006,336
1,OO21_,2013,408
1,OO211,1976,558
1,OO211,1981,687
1,OO211,1986,849
1,OO211,1991,762
1,OO211,1996,591
1,OO211,2001,417
1,OO211,2006,330
1,OO211,2013,405
1,PP11_,1976,750
1,PP11_,1981,822
1,PP11_,1986,948
1,PP11_,1991,1056
1,PP11_,1996,1224
1,PP11_,2001,1473
1,PP11_,2006,1554
1,PP11_,2013,1620
1,QQ11_,1976,1089
1,QQ11_,1981,1305
1,QQ11_,1986,1356
1,QQ11_,1991,1470
1,QQ11_,1996,1527
1,QQ11_,2001,2103
1,QQ11_,2006,2538
1,QQ11_,2013,3054
1,RS11_,1976,126
1,RS11_,1981,177
1,RS11_,1986,204
1,RS11_,1991,138
1,RS11_,1996,156
1,RS11_,2001,231
1,RS11_,2006,234
1,RS11_,2013,246
1,RS210,1976,270
1,RS210,1981,222
1,RS210,1986,282
1,RS210,1991,225
1,RS210,1996,321
1,RS210,2001,264
1,RS210,2006,261
1,RS210,2013,252
1,RS211,1976,279
1,RS211,1981,213
1,RS211,1986,246
1,RS211,1991,219
1,RS211,1996,354
1,RS211,2001,339
1,RS211,2006,423
1,RS211,2013,345
1,RS219,1976,57
1,RS219,1981,102
1,RS219,1986,111
1,RS219,1991,120
1,RS219,1996,165
1,RS219,2001,168
1,RS219,2006,213
1,RS219,2013,243
2,AA111,1976,171
2,AA111,1981,204
2,AA111,1986,351
2,AA111,1991,279
2,AA111,1996,306
2,AA111,2001,306
2,AA111,2006,285
2,AA111,2013,246
2,AA121,1976,93
2,AA121,1981,177
2,AA121,1986,120
2,AA121,1991,138
2,AA121,1996,159
2,AA121,2001,138
2,AA121,2006,144
2,AA121,2013,162
2,AA131,1976,78
2,AA131,1981,78
2,AA131,1986,60
2,AA131,1991,39
2,AA131,1996,63
2,AA131,2001,51
2,AA131,2006,63
2,AA131,2013,51
2,AA141,1976,39
2,AA141,1981,54
2,AA141,1986,75
2,AA141,1991,48
2,AA141,1996,63
2,AA141,2001,69
2,AA141,2006,48
2,AA141,2013,42
2,AA211,1976,21
2,AA211,1981,39
2,AA211,1986,48
2,AA211,1991,24
2,AA211,1996,60
2,AA211,2001,57
2,AA211,2006,57
2,AA211,2013,42
2,AA310,1976,48
2,AA310,1981,99
2,AA310,1986,78
2,AA310,1991,69
2,AA310,1996,39
2,AA310,2001,69
2,AA310,2006,42
2,AA310,2013,39
2,AA320,1976,81
2,AA320,1981,111
2,AA320,1986,114
2,AA320,1991,90
2,AA320,1996,147
2,AA320,2001,153
2,AA320,2006,150
2,AA320,2013,84
2,BB11_,1976,45
2,BB11_,1981,42
2,BB11_,1986,48
2,BB11_,1991,42
2,BB11_,1996,51
2,BB11_,2001,42
2,BB11_,2006,54
2,BB11_,2013,51
2,CC1_,1976,231
2,CC1_,1981,279
2,CC1_,1986,237
2,CC1_,1991,144
2,CC1_,1996,174
2,CC1_,2001,141
2,CC1_,2006,126
2,CC1_,2013,129
2,CC131,1976,42
2,CC131,1981,72
2,CC131,1986,51
2,CC131,1991,45
2,CC131,1996,69
2,CC131,2001,78
2,CC131,2006,111
2,CC131,2013,231
2,CC141,1976,666
2,CC141,1981,954
2,CC141,1986,975
2,CC141,1991,801
2,CC141,1996,801
2,CC141,2001,939
2,CC141,2006,1095
2,CC141,2013,1101
2,CC151,1976,177
2,CC151,1981,252
2,CC151,1986,150
2,CC151,1991,108
2,CC151,1996,126
2,CC151,2001,135
2,CC151,2006,129
2,CC151,2013,201
2,CC211,1976,537
2,CC211,1981,591
2,CC211,1986,600
2,CC211,1991,459
2,CC211,1996,573
2,CC211,2001,528
2,CC211,2006,414
2,CC211,2013,342
2,CC212,1976,1896
2,CC212,1981,1836
2,CC212,1986,1869
2,CC212,1991,1317
2,CC212,1996,1011
2,CC212,2001,618
2,CC212,2006,594
2,CC212,2013,348
2,CC311,1976,327
2,CC311,1981,330
2,CC311,1986,501
2,CC311,1991,429
2,CC311,1996,588
2,CC311,2001,537
2,CC311,2006,654
2,CC311,2013,396
2,CC321,1976,246
2,CC321,1981,360
2,CC321,1986,396
2,CC321,1991,177
2,CC321,1996,252
2,CC321,2001,174
2,CC321,2006,246
2,CC321,2013,195
2,CC411,1976,807
2,CC411,1981,1053
2,CC411,1986,1410
2,CC411,1991,1113
2,CC411,1996,1203
2,CC411,2001,1212
2,CC411,2006,1221
2,CC411,2013,972
2,CC5_,1976,1176
2,CC5_,1981,1743
2,CC5_,1986,1782
2,CC5_,1991,1512
2,CC5_,1996,1629
2,CC5_,2001,1422
2,CC5_,2006,1320
2,CC5_,2013,1008
2,CC611,1976,498
2,CC611,1981,606
2,CC611,1986,540
2,CC611,1991,342
2,CC611,1996,381
2,CC611,2001,369
2,CC611,2006,387
2,CC611,2013,315
2,CC711,1976,84
2,CC711,1981,132
2,CC711,1986,153
2,CC711,1991,132
2,CC711,1996,156
2,CC711,2001,186
2,CC711,2006,180
2,CC711,2013,135
2,CC721,1976,975
2,CC721,1981,1119
2,CC721,1986,1458
2,CC721,1991,972
2,CC721,1996,1143
2,CC721,2001,1263
2,CC721,2006,1398
2,CC721,2013,1203
2,CC811,1976,1491
2,CC811,1981,1986
2,CC811,1986,1761
2,CC811,1991,795
2,CC811,1996,1110
2,CC811,2001,936
2,CC811,2006,954
2,CC811,2013,855
2,CC821,1976,897
2,CC821,1981,840
2,CC821,1986,939
2,CC821,1991,675
2,CC821,1996,672
2,CC821,2001,792
2,CC821,2006,915
2,CC821,2013,849
2,CC822,1976,804
2,CC822,1981,726
2,CC822,1986,813
2,CC822,1991,684
2,CC822,1996,861
2,CC822,2001,828
2,CC822,2006,750
2,CC822,2013,669
2,CC91_,1976,1149
2,CC91_,1981,1323
2,CC91_,1986,1548
2,CC91_,1991,1395
2,CC91_,1996,1269
2,CC91_,2001,1182
2,CC91_,2006,1032
2,CC91_,2013,813
2,DD1_,1976,672
2,DD1_,1981,633
2,DD1_,1986,723
2,DD1_,1991,681
2,DD1_,1996,609
2,DD1_,2001,420
2,DD1_,2006,360
2,DD1_,2013,486
2,EE1_,1976,2163
2,EE1_,1981,2541
2,EE1_,1986,3309
2,EE1_,1991,3600
2,EE1_,1996,4275
2,EE1_,2001,5382
2,EE1_,2006,6840
2,EE1_,2013,6972
2,EE110,1976,2496
2,EE110,1981,1269
2,EE110,1986,1986
2,EE110,1991,1881
2,EE110,1996,2280
2,EE110,2001,1893
2,EE110,2006,2685
2,EE110,2013,2694
2,EE113,1976,855
2,EE113,1981,402
2,EE113,1986,834
2,EE113,1991,465
2,EE113,1996,444
2,EE113,2001,564
2,EE113,2006,705
2,EE113,2013,615
2,FF11_,1976,702
2,FF11_,1981,1113
2,FF11_,1986,2040
2,FF11_,1991,2412
2,FF11_,1996,3180
2,FF11_,2001,3744
2,FF11_,2006,3996
2,FF11_,2013,3894
2,FF110,1976,1704
2,FF110,1981,1989
2,FF110,1986,2838
2,FF110,1991,2655
2,FF110,1996,3579
2,FF110,2001,3429
2,FF110,2006,3912
2,FF110,2013,3231
2,FF111,1976,831
2,FF111,1981,741
2,FF111,1986,765
2,FF111,1991,732
2,FF111,1996,1116
2,FF111,2001,1209
2,FF111,2006,1215
2,FF111,2013,1371
2,FF114,1976,543
2,FF114,1981,519
2,FF114,1986,672
2,FF114,1991,654
2,FF114,1996,798
2,FF114,2001,888
2,FF114,2006,849
2,FF114,2013,1080
2,GH111,1976,837
2,GH111,1981,801
2,GH111,1986,1113
2,GH111,1991,1020
2,GH111,1996,858
2,GH111,2001,867
2,GH111,2006,954
2,GH111,2013,945
2,GH112,1976,381
2,GH112,1981,894
2,GH112,1986,984
2,GH112,1991,921
2,GH112,1996,639
2,GH112,2001,582
2,GH112,2006,420
2,GH112,2013,258
2,GH121,1976,1275
2,GH121,1981,1596
2,GH121,1986,1905
2,GH121,1991,2040
2,GH121,1996,2781
2,GH121,2001,2577
2,GH121,2006,2700
2,GH121,2013,2556
2,GH122,1976,585
2,GH122,1981,573
2,GH122,1986,675
2,GH122,1991,588
2,GH122,1996,624
2,GH122,2001,663
2,GH122,2006,915
2,GH122,2013,849
2,GH130,1976,1002
2,GH130,1981,1062
2,GH130,1986,1296
2,GH130,1991,1662
2,GH130,1996,1629
2,GH130,2001,1878
2,GH130,2006,2334
2,GH130,2013,2631
2,GH131,1976,1368
2,GH131,1981,1635
2,GH131,1986,2238
2,GH131,1991,1734
2,GH131,1996,2007
2,GH131,2001,2040
2,GH131,2006,2526
2,GH131,2013,2754
2,GH132,1976,1071
2,GH132,1981,1347
2,GH132,1986,1611
2,GH132,1991,1473
2,GH132,1996,2049
2,GH132,2001,2178
2,GH132,2006,2406
2,GH132,2013,2619
2,GH133,1976,897
2,GH133,1981,846
2,GH133,1986,834
2,GH133,1991,411
2,GH133,1996,603
2,GH133,2001,861
2,GH133,2006,900
2,GH133,2013,987
2,GH21_,1976,1386
2,GH21_,1981,2124
2,GH21_,1986,2793
2,GH21_,1991,2865
2,GH21_,1996,4404
2,GH21_,2001,4785
2,GH21_,2006,5802
2,GH21_,2013,6909
2,II111,1976,993
2,II111,1981,1062
2,II111,1986,1236
2,II111,1991,1113
2,II111,1996,1128
2,II111,2001,1191
2,II111,2006,1227
2,II111,2013,1215
2,II120,1976,459
2,II120,1981,729
2,II120,1986,330
2,II120,1991,207
2,II120,1996,156
2,II120,2001,216
2,II120,2006,330
2,II120,2013,273
2,II121,1976,156
2,II121,1981,126
2,II121,1986,81
2,II121,1991,27
2,II121,1996,21
2,II121,2001,24
2,II121,2006,102
2,II121,2013,135
2,II123,1976,771
2,II123,1981,1113
2,II123,1986,861
2,II123,1991,933
2,II123,1996,762
2,II123,2001,858
2,II123,2006,813
2,II123,2013,819
2,II13_,1976,2559
2,II13_,1981,756
2,II13_,1986,993
2,II13_,1991,1950
2,II13_,1996,2007
2,II13_,2001,1773
2,II13_,2006,1989
2,II13_,2013,1710
2,JJ11_,1976,1398
2,JJ11_,1981,1542
2,JJ11_,1986,1275
2,JJ11_,1991,1728
2,JJ11_,1996,1869
2,JJ11_,2001,1908
2,JJ11_,2006,2193
2,JJ11_,2013,2028
2,JJ120,1976,216
2,JJ120,1981,2310
2,JJ120,1986,2601
2,JJ120,1991,1572
2,JJ120,1996,1122
2,JJ120,2001,1512
2,JJ120,2006,1623
2,JJ120,2013,1626
2,JJ123,1976,81
2,JJ123,1981,93
2,JJ123,1986,114
2,JJ123,1991,174
2,JJ123,1996,177
2,JJ123,2001,225
2,JJ123,2006,336
2,JJ123,2013,270
2,KK1_,1976,1530
2,KK1_,1981,1512
2,KK1_,1986,1980
2,KK1_,1991,2277
2,KK1_,1996,2469
2,KK1_,2001,2886
2,KK1_,2006,3381
2,KK1_,2013,4227
2,KK110,1976,1641
2,KK110,1981,2589
2,KK110,1986,2916
2,KK110,1991,3105
2,KK110,1996,2760
2,KK110,2001,2829
2,KK110,2006,3684
2,KK110,2013,4173
2,LL110,1976,579
2,LL110,1981,258
2,LL110,1986,558
2,LL110,1991,318
2,LL110,1996,531
2,LL110,2001,780
2,LL110,2006,1059
2,LL110,2013,873
2,LL12_,1976,735
2,LL12_,1981,582
2,LL12_,1986,996
2,LL12_,1991,1572
2,LL12_,1996,2385
2,LL12_,2001,2406
2,LL12_,2006,3432
2,LL12_,2013,3243
2,MN11_,1976,1905
2,MN11_,1981,2223
2,MN11_,1986,2925
2,MN11_,1991,6102
2,MN11_,1996,8334
2,MN11_,2001,11016
2,MN11_,2006,15237
2,MN11_,2013,16788
2,MN21_,1976,1656
2,MN21_,1981,2100
2,MN21_,1986,3474
2,MN21_,1991,3216
2,MN21_,1996,4107
2,MN21_,2001,4731
2,MN21_,2006,5295
2,MN21_,2013,5463
2,OO111,1976,711
2,OO111,1981,954
2,OO111,1986,603
2,OO111,1991,882
2,OO111,1996,753
2,OO111,2001,780
2,OO111,2006,969
2,OO111,2013,1233
2,OO21_,1976,2409
2,OO21_,1981,2280
2,OO21_,1986,2463
2,OO21_,1991,3183
2,OO21_,1996,3174
2,OO21_,2001,2931
2,OO21_,2006,3312
2,OO21_,2013,3570
2,OO211,1976,1827
2,OO211,1981,2454
2,OO211,1986,2562
2,OO211,1991,2469
2,OO211,1996,1857
2,OO211,2001,1479
2,OO211,2006,1185
2,OO211,2013,1380
2,PP11_,1976,3672
2,PP11_,1981,4326
2,PP11_,1986,4041
2,PP11_,1991,4710
2,PP11_,1996,5676
2,PP11_,2001,7434
2,PP11_,2006,9318
2,PP11_,2013,10722
2,QQ11_,1976,2700
2,QQ11_,1981,3663
2,QQ11_,1986,4488
2,QQ11_,1991,5361
2,QQ11_,1996,5814
2,QQ11_,2001,7542
2,QQ11_,2006,9210
2,QQ11_,2013,11916
2,RS11_,1976,381
2,RS11_,1981,576
2,RS11_,1986,639
2,RS11_,1991,990
2,RS11_,1996,1476
2,RS11_,2001,1971
2,RS11_,2006,2256
2,RS11_,2013,2787
2,RS210,1976,1044
2,RS210,1981,975
2,RS210,1986,1266
2,RS210,1991,993
2,RS210,1996,1440
2,RS210,2001,1374
2,RS210,2006,1743
2,RS210,2013,1722
2,RS211,1976,876
2,RS211,1981,633
2,RS211,1986,792
2,RS211,1991,891
2,RS211,1996,1482
2,RS211,2001,1674
2,RS211,2006,2067
2,RS211,2013,1884
2,RS219,1976,366
2,RS219,1981,663
2,RS219,1986,531
2,RS219,1991,561
2,RS219,1996,876
2,RS219,2001,1095
2,RS219,2006,1416
2,RS219,2013,1803
3,AA111,1976,1041
3,AA111,1981,1119
3,AA111,1986,1362
3,AA111,1991,945
3,AA111,1996,1038
3,AA111,2001,840
3,AA111,2006,783
3,AA111,2013,549
3,AA121,1976,117
3,AA121,1981,135
3,AA121,1986,111
3,AA121,1991,117
3,AA121,1996,159
3,AA121,2001,114
3,AA121,2006,132
3,AA121,2013,102
3,AA131,1976,90
3,AA131,1981,63
3,AA131,1986,60
3,AA131,1991,30
3,AA131,1996,33
3,AA131,2001,36
3,AA131,2006,33
3,AA131,2013,42
3,AA141,1976,195
3,AA141,1981,141
3,AA141,1986,156
3,AA141,1991,126
3,AA141,1996,120
3,AA141,2001,123
3,AA141,2006,114
3,AA141,2013,81
3,AA211,1976,57
3,AA211,1981,81
3,AA211,1986,78
3,AA211,1991,48
3,AA211,1996,81
3,AA211,2001,39
3,AA211,2006,66
3,AA211,2013,48
3,AA310,1976,39
3,AA310,1981,36
3,AA310,1986,45
3,AA310,1991,45
3,AA310,1996,42
3,AA310,2001,60
3,AA310,2006,27
3,AA310,2013,27
3,AA320,1976,84
3,AA320,1981,153
3,AA320,1986,165
3,AA320,1991,147
3,AA320,1996,114
3,AA320,2001,153
3,AA320,2006,132
3,AA320,2013,96
